id,source,grade,semester,unit,difficulty,problem,answer,hint1,hint2,hint3,next_question
p_0011,orca,4,1,큰 수,중간,3200보다 크고 4300보다 작은 4자리 숫자는 몇 개인가요?,1099개,3200보다 큰 첫 번째 4자리 수와 4300보다 작은 마지막 4자리 수를 찾아보세요.,두 수 사이의 차이를 계산한 후 1을 더해야 하는 이유를 생각해 보세요.,4299 - 3201 + 1을 계산해 보세요.,3500보다 크고 3600보다 작은 4자리 숫자는 몇 개인가요?
p_0012,orca,4,1,큰 수,중간,"숫자 카드 1, 6, 8을 모두 한 번씩 사용하여 두 번째로 큰 세 자리 숫자와 세 번째로 큰 세 자리 숫자의 합을 구합니다.",1434,세 자리 수를 가장 큰 수부터 순서대로 나열해 보세요.,두 번째와 세 번째에 오는 수를 찾아 더하면 됩니다.,816 + 681을 계산할 때 자릿값을 맞추어 계산하세요.,"숫자 카드 2, 5, 9를 사용하여 만들 수 있는 가장 큰 세 자리 수와 가장 작은 세 자리 수의 차는 얼마인가요?"
p_0013,generated,4,1,큰 수,중간,"학교 운동회에 참가한 학생이 45,678,901명입니다. 이 수를 10,000명씩 그룹으로 나눌 때, 몇 그룹이 생기고 남은 학생은 몇 명인지 구하시오. (단, 그룹 수만 답하세요)",4567,"10,000으로 나누면 '만' 단위로 계산할 수 있습니다.",나눗셈에서 몫과 나머지를 구해보세요.,문제에서 요구하는 것은 그룹 수입니다.,"78,901,234개의 사탕을 1,000개씩 포장할 때, 몇 포장이 생기고 남은 사탕은 몇 개인지 구하시오. (단, 포장 수만 답하세요)"
p_0014,generated,4,1,큰 수,중간,"한 상점에 543,210,987개의 상품이 있습니다. 이 상품을 100,000개씩 포장할 때, 완전히 포장된 상자의 수와 남은 상품의 수를 각각 구하시오. (단, 상자 수만 답하세요)",5432,"100,000으로 나누면 '십만' 단위로 계산할 수 있습니다.",나눗셈에서 몫과 나머지를 구해보세요.,문제에서 요구하는 것은 상자 수입니다.,"765,432,109개의 책을 10,000권씩 포장할 때, 완전히 포장된 상자의 수와 남은 책의 수를 각각 구하시오. (단, 상자 수만 답하세요)"
p_0015,generated,4,1,큰 수,중간,"한 농부가 789,012,345개의 사과를 수확했습니다. 이 사과를 10,000개씩 상자에 담을 때, 완전히 채워진 상자의 수와 남은 사과의 수를 각각 구하시오. (단, 상자 수만 답하세요)",78901,"10,000으로 나누면 '만' 단위로 계산할 수 있습니다.",나눗셈에서 몫과 나머지를 구해보세요.,문제에서 요구하는 것은 상자 수입니다.,"987,654,321개의 배를 1,000개씩 상자에 담을 때, 완전히 채워진 상자의 수와 남은 배의 수를 각각 구하시오. (단, 상자 수만 답하세요)"
p_0016,generated,4,1,큰 수,어려움,"지구상의 모든 모래알 개수를 약 7,000,000,000,000,000,000,000개로 추정합니다. 이 수를 '조' 단위로 읽고, 1조 단위로 뛰어 세어 10번째 수는 얼마인가요?",7000조,수를 조 단위로 변환해 보세요.,뛰어 세기는 같은 간격으로 세는 것입니다.,"700,000조 중 10번째 수를 찾으려면 1조×10을 계산하세요.",1경 2조 3억을 숫자 표기로 어떻게 쓰나요?
p_0017,generated,4,1,큰 수,어려움,"우주에는 약 200,000,000,000개의 별이 있습니다. 이 수를 억 단위로 읽고, 50억 단위로 뛰어 세어 4번째 수는 얼마인가요?",1500억,수를 억 단위로 변환해 보세요.,50억씩 더해가며 세어 보세요.,50억×4를 계산하면 됩니다.,3조 5억을 1억 단위로 뛰어 세면 몇 번째 수인가요?
p_0018,generated,4,1,큰 수,어려움,"한국의 인구 약 51,700,000명을 100만 단위로 읽고, 500만 단위로 뛰어 세어 바로 다음 수는 얼마인가요?",5200만,수를 100만 단위로 변환해 보세요.,500만 단위로 나열해 보세요.,"5,170만보다 큰 가장 가까운 500만 배수를 찾으세요.","7,890만을 100만 단위로 뛰어 세면 몇 번째 수인가요?"
p_0019,generated,4,1,큰 수,어려움,"세계 인구는 약 7,900,000,000명입니다. 이 수를 억 단위로 읽고, 5억 단위로 뛰어 세어 바로 앞 수는 얼마인가요?",7400억,수를 억 단위로 변환해 보세요.,5억 단위로 나열해 보세요.,79억보다 작은 가장 가까운 5억 배수를 찾으세요.,"8,200,000,000을 5억 단위로 뛰어 세면 몇 번째 수인가요?"
p_0020,generated,4,1,큰 수,어려움,"한 해 동안 한국에서 팔린 커피 컵 수는 2,345,678,901개입니다. 이 수를 억 단위로 읽고, 10억 단위로 뛰어 세어 바로 다음 수는 얼마인가요?",30억,수를 억 단위로 변환해 보세요.,10억 단위로 나열해 보세요.,23억 4567만 8901보다 큰 가장 가까운 10억 배수를 찾으세요.,"4,567,890,123을 10억 단위로 뛰어 세면 몇 번째 수인가요?"
p_0021,generated,4,1,큰 수,어려움,"한국의 연간 수출액은 약 630,000,000,000달러입니다. 이 수를 조 단위로 읽고, 50조 단위로 뛰어 세어 바로 앞 수는 얼마인가요?",580조,수를 조 단위로 변환해 보세요.,50조 단위로 나열해 보세요.,63조보다 작은 가장 가까운 50조 배수를 찾으세요.,720조를 50조 단위로 뛰어 세면 몇 번째 수인가요?
p_0022,generated,4,1,큰 수,어려움,"지구 둘레는 약 40,075,000미터입니다. 이 수를 만 단위로 읽고, 50만 단위로 뛰어 세어 바로 다음 수는 얼마인가요?",405만,수를 만 단위로 변환해 보세요.,50만 단위로 나열해 보세요.,4007만 5000보다 큰 가장 가까운 50만 배수를 찾으세요.,"67,890,000을 50만 단위로 뛰어 세면 몇 번째 수인가요?"
p_0023,generated,4,1,큰 수,어려움,"한국의 연간 쌀 생산량은 약 3,800,000톤입니다. 이 수를 만 단위로 읽고, 50만 단위로 뛰어 세어 바로 앞 수는 얼마인가요?",330만,수를 만 단위로 변환해 보세요.,50만 단위로 나열해 보세요.,380만보다 작은 가장 가까운 50만 배수를 찾으세요.,"4,200,000을 50만 단위로 뛰어 세면 몇 번째 수인가요?"
p_0024,generated,4,1,큰 수,어려움,"세계 금 보유량은 약 190,000톤입니다. 이 수를 만 단위로 읽고, 10만 단위로 뛰어 세어 7번째 수는 얼마인가요?",70만,수를 만 단위로 변환해 보세요.,10만 단위로 나열해 보세요.,10만×7을 계산하세요.,"250,000을 10만 단위로 뛰어 세면 몇 번째 수인가요?"
p_0025,generated,4,1,큰 수,어려움,"지구상의 모든 모래알 개수를 약 7,500,000,000,000,000,000,000개로 추정합니다. 이 수를 '조' 단위로 읽고, 1,000조 개씩 묶어 몇 묶음이 나오는지 계산하시오.","7,500,000",수를 조 단위로 읽어보자,"1,000조는 1조 × 1,000임을 이용",나눗셈 시 0의 개수를 줄여 계산,"1경 2조 3억을 숫자로 쓰고, 10억 단위로 묶어 몇 묶음이 나오는지 구하시오"
p_0026,generated,4,1,각도,쉬움,"사각형 네 각의 크기가 모두 같을 때, 각 한 각의 크기는 몇 도인가요?",90,사각형 내각의 합은 360도입니다,360을 4로 나누세요,직사각형의 각 크기를 생각해 보세요,이 사각형은 어떤 도형일까요?
p_0027,generated,4,1,각도,쉬움,정사각형 한 변의 각도는 몇 도일까요?,90,정사각형의 각은 모두 같습니다.,직각의 크기를 생각해 보세요.,정사각형은 직각을 가진 사각형입니다.,직사각형의 한 각도는 몇 도일까요?
p_0028,generated,4,1,각도,쉬움,"삼각형 세 각의 합이 180도일 때, 두 각이 각각 50도와 60도라면 나머지 각은 몇 도일까요?",70,삼각형 세 각의 합을 기억하세요.,두 각의 합을 먼저 구해보세요.,180도에서 두 각의 합을 빼보세요.,"삼각형 세 각이 30도, 60도, 90도일 때 합은 몇 도일까요?"
p_0029,generated,4,1,각도,쉬움,직각에서 35도를 뺀 각은 몇 도일까요?,55,직각의 크기를 먼저 생각해 보세요.,90도에서 35도를 빼보세요.,뺄셈 문제로 생각하고 풀어보세요.,직각에서 45도를 뺀 각은 몇 도일까요?
p_0030,generated,4,1,각도,쉬움,예각 25도와 둔각 120도를 더하면 몇 도일까요?,145,두 각도를 더해보세요.,25와 120을 더한 값을 생각해 보세요.,덧셈 문제로 생각하고 풀어보세요.,예각 40도와 둔각 110도를 더하면 몇 도일까요?
p_0031,generated,4,1,각도,쉬움,"각도기로 120도를 그린 후, 40도를 더 그린 각은 몇 도일까요?",160,두 각도를 더해보세요.,120과 40을 더한 값을 생각해 보세요.,덧셈 문제로 생각하고 풀어보세요.,"각도기로 100도를 그린 후, 30도를 더 그린 각은 몇 도일까요?"
p_0032,generated,4,1,각도,쉬움,직각에서 예각 20도를 뺀 각은 몇 도일까요?,70,직각의 크기를 먼저 생각해 보세요.,90도에서 20도를 빼보세요.,뺄셈 문제로 생각하고 풀어보세요.,직각에서 예각 30도를 뺀 각은 몇 도일까요?
p_0033,generated,4,1,각도,쉬움,"민준이는 각도기로 30도, 60도, 90도를 각각 그렸습니다. 이 세 각의 크기를 모두 더하면 몇 도가 될까요?",180,각도를 하나씩 더해보세요.,30 + 60을 먼저 계산한 후 90을 더해보세요.,삼각형 한 변의 각도와 같은지 생각해보세요.,정삼각형의 세 각의 크기를 모두 더하면 몇 도일까요?
p_0034,generated,4,1,각도,쉬움,정사각형의 한 각은 90도입니다. 이 정사각형의 네 각의 크기를 모두 더하면 몇 도가 될까요?,360,90도를 네 번 더해보세요.,90 × 4를 계산해보세요.,사각형 내각의 합을 기억해보세요.,직사각형의 네 각의 크기를 모두 더하면 몇 도일까요?
p_0035,generated,4,1,각도,쉬움,"민준이는 각도기로 △ABC를 그렸습니다. △ABC의 세 각 중 ∠A는 50°, ∠B는 60°입니다. △ABC의 세 각의 합을 구하고, ∠C의 크기를 구하세요.",70,삼각형 세 각의 합이 얼마인지 생각해 보세요.,주어진 두 각의 합을 먼저 계산한 후 180°에서 빼 보세요.,50°와 60°를 더한 값이 110°라는 걸 이용하면 됩니다.,"정사각형의 네 각의 합을 구하고, 한 각의 크기를 설명해 보세요."
p_0036,generated,4,1,각도,중간,"민준이는 직각 삼각형 모양의 종이를 가지고 있습니다. 한 각이 90도이고, 다른 두 각 중 하나는 35도일 때, 나머지 한 각의 크기는 몇 도인지 구하세요.",55,삼각형의 세 각을 모두 더하면 몇 도가 되나요?,이미 알고 있는 두 각을 먼저 더해보세요.,180도에서 더한 값을 빼면 나머지 각을 구할 수 있습니다.,"직각 사각형에서 한 각이 120도일 때, 나머지 세 각의 합은 몇 도인가요?"
p_0037,generated,4,1,각도,중간,"정사각형의 한 각은 90도입니다. 정사각형과 크기가 같은 직사각형의 한 각이 80도라면, 나머지 세 각의 합은 몇 도인가요?",340,사각형의 네 각을 모두 더하면 몇 도가 되나요?,한 각을 알고 있으니 전체에서 빼보세요.,직사각형이어도 네 각의 합은 항상 360도입니다.,"예각 삼각형에서 두 각이 각각 40도, 60도일 때, 나머지 각은 몇 도인가요?"
p_0038,generated,4,1,각도,중간,"둔각 삼각형에서 한 각이 120도이고, 다른 두 각이 같을 때, 같은 각 하나의 크기는 몇 도인가요?",30,삼각형의 세 각을 모두 더하면 몇 도가 되나요?,둔각을 먼저 빼고 나머지 두 각의 합을 구해보세요.,나머지 두 각이 같으므로 합을 2로 나눕니다.,"직각 사각형에서 두 각이 각각 90도, 100도일 때, 나머지 두 각의 합은 몇 도인가요?"
p_0039,generated,4,1,각도,중간,"직각 사각형에서 두 각이 각각 90도와 100도일 때, 나머지 두 각의 합은 몇 도인가요?",170,사각형의 네 각을 모두 더하면 몇 도가 되나요?,두 각을 먼저 더해보세요.,360도에서 더한 값을 빼면 나머지 각의 합을 구할 수 있습니다.,"예각, 직각, 둔각을 각각 하나씩 가진 사각형이 있을 때, 세 각의 합이 210도라면 나머지 각은 몇 도인가요?"
p_0040,generated,4,1,각도,중간,"예각, 직각, 둔각을 각각 하나씩 가진 사각형이 있을 때, 세 각의 합이 210도라면 나머지 각은 몇 도인가요?",150,사각형의 네 각을 모두 더하면 몇 도가 되나요?,세 각의 합을 알고 있으니 전체에서 빼보세요.,나머지 각은 둔각일 가능성이 높습니다.,"두 각이 각각 50도와 70도일 때, 이 두 각의 차는 몇 도인가요?"
p_0041,generated,4,1,각도,중간,"두 각이 각각 50도와 70도일 때, 이 두 각의 차는 몇 도인가요?",20,큰 각도에서 작은 각도를 빼면 차의 크기를 알 수 있습니다.,70도가 50도보다 몇 도 더 큰지 계산해보세요.,뺄셈으로 각의 차를 구할 수 있습니다.,"한 각이 125도일 때, 이 각을 예각 두 개의 합으로 표현하려면 각 예각은 몇 도여야 하나요? (단, 두 예각은 같습니다.)"
p_0042,generated,4,1,각도,중간,"한 각이 125도일 때, 이 각을 예각 두 개의 합으로 표현하려면 각 예각은 몇 도여야 하나요? (단, 두 예각은 같습니다.)",62.5,125도를 두 개의 같은 각으로 나누려면 어떻게 해야 할까요?,125도를 2로 나누어 보세요.,나눗셈 결과가 예각인지 확인해야 합니다.,직각에서 35도를 뺀 각의 크기는 몇 도인가요?
p_0043,generated,4,1,각도,중간,직각에서 35도를 뺀 각의 크기는 몇 도인가요?,55,직각의 크기는 몇 도인가요?,90도에서 35도를 빼보세요.,뺄셈으로 각의 크기를 구할 수 있습니다.,"예각 삼각형에서 한 각이 50도이고, 다른 두 각의 차가 20도일 때, 두 각은 각각 몇 도인가요?"
p_0044,generated,4,1,각도,중간,"예각 삼각형에서 한 각이 50도이고, 다른 두 각의 차가 20도일 때, 두 각은 각각 몇 도인가요?","60,70",삼각형의 세 각의 합은 180도입니다.,"한 각이 50도이고, 다른 두 각의 차가 20도임을 이용하세요.",방정식을 세워 문제를 해결할 수 있습니다.,"직각 사각형에서 두 각이 각각 90도, 110도일 때, 나머지 두 각의 합은 몇 도인가요?"
p_0045,generated,4,1,각도,중간,"민준이는 각도기로 △ABC를 그렸습니다. △ABC의 세 각 중 ∠A는 50°, ∠B는 70°입니다. △ABC의 세 각의 합을 구하고, ∠C의 크기를 구하세요.",60,삼각형 세 각의 합이 얼마인지 생각해 보세요.,주어진 두 각의 합을 먼저 계산한 후 180°에서 빼 보세요.,"50° + 70° = 120°이므로, 180° - 120°를 계산하면 됩니다.","사각형의 네 각의 합은 몇 도일까요? 사각형의 세 각이 각각 80°, 90°, 100°일 때, 나머지 한 각의 크기는 몇 도인지 구하세요."
p_0046,generated,4,1,각도,어려움,"사각형 네 각의 합이 360도일 때, 세 각이 모두 85도라면 나머지 한 각은 몇 도일까요?",95,사각형의 네 각 합은 360도입니다.,세 각의 합을 먼저 구해보세요.,360 - 255 = 105를 계산해보세요.,"105도는 예각, 직각, 둔각 중 어떤 각일까요?"
p_0047,generated,4,1,각도,어려움,민준이는 직각 삼각형과 정삼각형을 각각 하나씩 그렸습니다. 두 삼각형의 모든 내각의 합을 더하면 몇 도인지 구하시오.,360,직각 삼각형과 정삼각형 각각의 내각의 합을 먼저 생각해 보세요.,모든 삼각형의 내각의 합은 항상 180도라는 것을 기억하세요.,180도에 2를 곱하면 답이 나옵니다.,"정사각형과 정삼각형을 각각 하나씩 그렸을 때, 두 도형의 내각의 합을 구하시오."
p_0048,generated,4,1,각도,어려움,"예각 5개와 둔각 3개를 모두 합쳤을 때, 전체 각의 크기의 합이 450도가 되었습니다. 예각의 크기가 모두 같고 둔각의 크기도 모두 같을 때, 예각 하나의 크기는 몇 도인지 구하시오.",60,예각과 둔각의 크기 관계를 생각해 보세요.,"예각은 90도 미만, 둔각은 90도보다 큽니다.","예각을 x도, 둔각을 y도라고 하고 방정식을 세워보세요.","예각 4개와 둔각 2개의 합이 300도일 때, 예각 하나의 크기를 구하시오."
p_0049,generated,4,1,각도,어려움,직각 2개와 예각 1개를 합쳐서 만든 각의 크기는 몇 도인지 구하시오.,270,직각의 크기를 먼저 생각해 보세요.,직각 2개의 합은 180도입니다.,예각의 크기를 알 수 없으므로 정확한 답을 구할 수 없습니다.,직각 1개와 예각 2개(각각 30도)를 합친 각의 크기를 구하시오.
p_0050,generated,4,1,각도,어려움,정사각형 모양의 도화지에 15도씩 12번 접었을 때 생기는 가장 작은 각의 크기는 몇 도인가요?,180,종이를 한 번 접을 때마다 생기는 각은 접힌 각도의 절반입니다.,12번 접은 총 각도는 15도와 접은 횟수를 곱해야 합니다.,최종 각도는 접힌 부분이 아닌 반대쪽 각을 고려해야 합니다.,종이를 20도씩 9번 접었을 때 생기는 가장 작은 각의 크기는 몇 도인가요?
p_0051,generated,4,1,각도,어려움,"예각 3개와 둔각 1개를 더하면 총 몇 도가 되나요? (단, 예각은 모두 50도, 둔각은 120도입니다)",370,예각과 둔각의 정의를 먼저 떠올려 보세요.,각 종류의 개수와 크기를 따로 계산한 후 더해야 합니다.,계산 과정에서 단위(도)를 빠뜨리지 마세요.,예각 2개(각각 45도)와 둔각 2개(각각 130도)를 더하면 총 몇 도인가요?
p_0052,generated,4,1,각도,어려움,"삼각형 세 각의 합이 180도일 때, 한 각이 90도이고 다른 각이 40도라면 나머지 각은 몇 도인가요?",50,삼각형 세 각의 합이 얼마인지 기억하세요.,알려진 두 각을 먼저 더한 후 전체에서 빼야 합니다.,계산 결과가 예각인지 확인해 보세요.,삼각형 세 각 중 두 각이 30도와 70도일 때 나머지 각은 몇 도인가요?
p_0053,generated,4,1,각도,어려움,"사각형 네 각의 합이 360도일 때, 세 각이 각각 80도, 90도, 100도라면 나머지 각은 몇 도인가요?",90,사각형 네 각의 합이 얼마인지 기억하세요.,알려진 세 각을 먼저 더한 후 전체에서 빼야 합니다.,계산 결과가 직각인지 확인해 보세요.,"사각형 네 각 중 세 각이 70도, 100도, 110도일 때 나머지 각은 몇 도인가요?"
p_0054,generated,4,1,각도,어려움,"한 각이 120도인 둔각을 30도씩 두 번 뺀 후, 45도를 더하면 최종 각도는 몇 도인가요?",75,각도의 차를 구할 때는 큰 각도에서 작은 각을 뺍니다.,두 번 빼는 것은 30도를 두 번 계산해야 합니다.,최종적으로 더하는 각도도 계산에 포함시켜야 합니다.,한 각이 150도인 둔각을 20도씩 세 번 뺀 후 35도를 더하면 몇 도인가요?
p_0055,generated,4,1,각도,어려움,직각에서 15도를 뺀 각과 예각 25도를 더하면 몇 도가 되나요?,90,직각의 크기를 먼저 떠올려 보세요.,직각에서 15도를 빼는 계산을 먼저 해야 합니다.,예각 25도를 더해야 최종 답을 구할 수 있습니다.,직각에서 30도를 뺀 각과 예각 40도를 더하면 몇 도인가요?
p_0056,orca,4,1,곱셈과 나눗셈,쉬움,3과 5를 한 번만 사용하여 두 개의 서로 다른 두 자리 숫자를 만들고 싶습니다. 몇 개의 두 자리 숫자를 만들 수 있을까요?,2개,두 숫자를 각각 한 번씩만 사용해야 한다는 점을 기억하세요.,10자리와 1자리에 어떤 숫자를 배치할 수 있는지 생각해 보세요.,3과 5를 서로 바꿔 배치하면 어떤 숫자가 만들어지는지 확인해 보세요.,4와 7을 한 번씩만 사용하여 만들 수 있는 두 자리 숫자는 모두 몇 개인가요?
p_0057,orca,4,1,곱셈과 나눗셈,쉬움,한 커플의 결혼식 피로연에는 몇 명의 하객이 참석했습니다. 신랑과 신부는 각각 가족 쪽에서 20쌍의 커플을 초대했습니다. 나머지 하객은 100명의 친구였습니다. 피로연에는 총 몇 명이 참석했나요?,180명,'20쌍'이 몇 명인지 먼저 계산해보세요.,신랑과 신부 각각의 가족 인원을 따로 계산한 후 합쳐보세요.,가족과 친구 인원을 모두 더해야 총 참석자를 구할 수 있습니다.,한 학급에 남학생 22명과 여학생 18명이 있습니다. 이 학급의 학생 수를 구하세요.
p_0058,orca,4,1,곱셈과 나눗셈,쉬움,24캔에 몇 리터의 기름이 들어 있습니다. 10개의 캔에는 각각 8리터가 들어 있고 나머지 캔에는 각각 15리터가 들어 있습니다. 총 몇 리터의 기름이 들어 있나요?,290리터,캔의 종류와 개수를 먼저 정리해 보세요,각 그룹의 총 기름 양을 따로 계산한 후 합쳐 보세요,10×8과 14×15를 계산한 뒤 덧셈을 해보세요,"30개의 상자에 각각 12개의 사과가 들어 있습니다. 15개의 상자에는 추가로 5개의 사과가 더 들어 있다면, 총 사과 개수는 몇 개인가요?"
p_0059,orca,4,1,곱셈과 나눗셈,쉬움,패딩턴에는 워싱턴보다 염소가 40마리 더 많습니다. 워싱턴에 염소가 140마리 있다면 총 염소는 몇 마리일까요?,320마리,워싱턴의 염소 수를 먼저 확인해 보세요,패딩턴의 염소 수는 워싱턴보다 40마리 더 많습니다,두 지역의 염소 수를 더하면 총 염소 수를 구할 수 있습니다,"서울 동물원에 토끼가 210마리 있고, 부산 동물원에 서울보다 35마리 더 많다면 두 동물원의 토끼는 총 몇 마리일까요?"
p_0060,orca,4,1,곱셈과 나눗셈,쉬움,문구점에서 3권의 노트를 750원에 샀습니다. 같은 노트북을 9권 사면 얼마를 지불해야 하나요?,2250원,먼저 노트 1권의 가격을 구해보세요.,3권이 750원이면 1권은 얼마일까요?,1권 가격을 구한 후 9권을 살 때 필요한 금액을 계산하세요.,"노트 1권이 250원일 때, 12권을 사면 총 얼마인가요?"
p_0061,orca,4,1,곱셈과 나눗셈,쉬움,"235개의 팔찌를 10개씩 가방에 담아 개당 3,000원에 판매하려고 합니다. 포장된 팔찌를 판매할 때 받을 수 있는 최대 금액은 얼마인가요?","69,000원",팔찌를 10개씩 담을 때 몇 개의 가방이 필요한지 계산해보세요,나머지 팔찌는 판매할 수 없으므로 완성된 가방 수만 고려합니다,완성된 가방 수에 가격을 곱해 총 금액을 구합니다,"187개의 구슬을 12개씩 상자에 담아 개당 5,000원에 판매할 때 최대 수익은 얼마인가요?"
p_0062,orca,4,1,곱셈과 나눗셈,쉬움,빨간 풍선 50개와 노란 풍선 26개가 있습니다. 파란색 풍선이 노란색 풍선보다 8개 더 많습니다. 어떤 색의 풍선이 가장 많나요?,빨간색 풍선,파란색 풍선의 총 개수를 먼저 구해보세요,세 색상의 풍선 수를 모두 적어 비교해 보세요,가장 큰 수를 가진 색상을 찾아보세요,"빨간 풍선 50개, 파란 풍선 34개, 노란 풍선 26개를 모두 묶으면 몇 개의 풍선이 있나요?"
p_0063,orca,4,1,곱셈과 나눗셈,쉬움,"질리언, 사바나, 클레이튼은 해변에서 조개를 모으고 있었습니다. 질리언은 29개를, 사바나는 17개를, 클레이튼은 8개를 모았습니다. 그들은 방금 도착한 두 친구에게 조개를 주고 싶다고 결정했습니다. 그들은 조개를 한데 모아 각 친구에게 골고루 나눠주었습니다. 각 친구는 몇 개의 조개를 받았을까요?",27개,먼저 세 사람이 모은 조개의 총 개수를 구해보세요.,총 조개 수를 두 친구에게 똑같이 나누려면 어떤 계산을 해야 할까요?,나눗셈 결과를 정수로 표현할 수 있는지 확인해보세요.,세 친구가 모은 조개를 세 명의 친구에게 나눠준다면 각 친구는 몇 개씩 받을 수 있을까요?
